t_12370	a_9649
a_9649	v_129
t_12370	a_6272
a_6272	v_129
t_12370	v_129
t_12435	a_8039
a_8039	v_129
t_12435	v_129
t_12463	a_9710
a_9710	v_129
t_12463	a_9711
a_9711	v_129
t_12463	v_129
t_12890	a_10033
a_10033	v_129
t_12890	v_129
t_13058	a_10174
a_10174	v_129
t_13058	a_10175
a_10175	v_129
t_13058	v_129
t_13092	a_8080
a_8080	v_129
t_13092	v_129
t_13213	a_9610
a_9610	v_129
t_13213	a_1911
a_1911	v_129
t_13213	v_129
t_13304	a_8680
a_8680	v_129
t_13304	v_129
t_13336	a_10380
a_10380	v_129
t_13336	v_129
t_13679	a_10603
a_10603	v_129
t_13679	v_129
t_13767	a_3474
a_3474	v_129
t_13767	v_129
t_13770	a_10660
a_10660	v_129
t_13770	v_129
t_13887	a_5308
a_5308	v_129
t_13887	v_129
t_20189	a_15303
a_15303	v_129
t_20189	v_129
t_27973	a_20837
a_20837	v_129
t_27973	a_20838
a_20838	v_129
t_27973	v_129
t_28012	a_20861
a_20861	v_129
t_28012	a_4733
a_4733	v_129
t_28012	v_129
t_28074	a_12090
a_12090	v_129
t_28074	a_20910
a_20910	v_129
t_28074	v_129
t_28159	a_20966
a_20966	v_129
t_28159	a_20967
a_20967	v_129
t_28159	a_20968
a_20968	v_129
t_28159	v_129
t_28183	a_15061
a_15061	v_129
t_28183	a_15060
a_15060	v_129
t_28183	v_129
t_28322	a_21066
a_21066	v_129
t_28322	v_129
t_28348	a_21079
a_21079	v_129
t_28348	a_21080
a_21080	v_129
t_28348	v_129
t_28678	a_21291
a_21291	v_129
t_28678	a_7520
a_7520	v_129
t_28678	v_129
t_28692	a_17424
a_17424	v_129
t_28692	a_17425
a_17425	v_129
t_28692	v_129
t_28723	a_4109
a_4109	v_129
t_28723	a_13709
a_13709	v_129
t_28723	a_20180
a_20180	v_129
t_28723	v_129
t_28735	a_21326
a_21326	v_129
t_28735	v_129
t_30013	a_22204
a_22204	v_129
t_30013	a_7840
a_7840	v_129
t_30013	a_22205
a_22205	v_129
t_30013	a_8912
a_8912	v_129
t_30013	v_129
t_30085	a_22233
a_22233	v_129
t_30085	v_129
t_30249	a_22339
a_22339	v_129
t_30249	a_7365
a_7365	v_129
t_30249	v_129
t_30303	a_10380
a_10380	v_129
t_30303	a_22370
a_22370	v_129
t_30303	v_129
t_30483	a_19129
a_19129	v_129
t_30483	a_14580
a_14580	v_129
t_30483	v_129
t_30489	a_22476
a_22476	v_129
t_30489	a_22477
a_22477	v_129
t_30489	v_129
t_30548	a_8033
a_8033	v_129
t_30548	v_129
t_36347	a_26727
a_26727	v_129
t_36347	a_12662
a_12662	v_129
t_36347	v_129
t_36355	a_26729
a_26729	v_129
t_36355	a_9020
a_9020	v_129
t_36355	a_26730
a_26730	v_129
t_36355	v_129
t_36617	a_22477
a_22477	v_129
t_36617	a_26954
a_26954	v_129
t_36617	a_14651
a_14651	v_129
t_36617	a_26955
a_26955	v_129
t_36617	a_26956
a_26956	v_129
t_36617	a_26957
a_26957	v_129
t_36617	a_26958
a_26958	v_129
t_36617	a_13838
a_13838	v_129
t_36617	v_129
t_36746	a_15487
a_15487	v_129
t_36746	v_129
t_37206	a_27397
a_27397	v_129
t_37206	a_5983
a_5983	v_129
t_37206	v_129
t_37244	a_15303
a_15303	v_129
t_37244	a_27416
a_27416	v_129
t_37244	a_27417
a_27417	v_129
t_37244	a_27418
a_27418	v_129
t_37244	v_129
t_37255	a_15281
a_15281	v_129
t_37255	v_129
t_37266	a_27434
a_27434	v_129
t_37266	v_129
t_37376	a_25860
a_25860	v_129
t_37376	v_129
t_37426	a_22233
a_22233	v_129
t_37426	v_129
t_37522	a_27626
a_27626	v_129
t_37522	v_129
t_37584	a_8369
a_8369	v_129
t_37584	v_129
t_37655	a_27715
a_27715	v_129
t_37655	a_27716
a_27716	v_129
t_37655	a_27717
a_27717	v_129
t_37655	a_27718
a_27718	v_129
t_37655	a_27719
a_27719	v_129
t_37655	v_129
t_37788	a_27809
a_27809	v_129
t_37788	a_486
a_486	v_129
t_37788	v_129
t_37865	a_27867
a_27867	v_129
t_37865	v_129
t_38110	a_28034
a_28034	v_129
t_38110	a_28035
a_28035	v_129
t_38110	v_129
t_38112	a_28034
a_28034	v_129
t_38112	a_28035
a_28035	v_129
t_38112	v_129
t_38140	a_28049
a_28049	v_129
t_38140	a_28050
a_28050	v_129
t_38140	a_28051
a_28051	v_129
t_38140	v_129
t_38186	a_28080
a_28080	v_129
t_38186	v_129
t_38327	a_25109
a_25109	v_129
t_38327	a_8028
a_8028	v_129
t_38327	a_16639
a_16639	v_129
t_38327	v_129
t_38384	a_14825
a_14825	v_129
t_38384	a_28196
a_28196	v_129
t_38384	v_129
t_38682	a_27312
a_27312	v_129
t_38682	a_27313
a_27313	v_129
t_38682	v_129
