lecturenotesincomputerscience	32137
internationalconferenceonacoustics,speech,andsignalprocessing	26621
internationalconferenceonroboticsandautomation	19943
internationalconferenceonimageprocessing	18336
internationalconferenceoncommunications	17679
internationalsymposiumoncircuitsandsystems	16945
globalcommunicationsconference	15850
internationalgeoscienceandremotesensingsymposium	15390
intelligentrobotsandsystems	14698
conferenceoftheinternationalspeechcommunicationassociation	13510
humanfactorsincomputingsystems	13120
appliedmathematicsandcomputation	13060
vehiculartechnologyconference	12605
conferenceondecisionandcontrol	12139
nationalconferenceonartificialintelligence	10605
ieeetransactionsoninformationtheory	10526
internationalconferenceoncomputergraphicsandinteractivetechniques	10309
hawaiiinternationalconferenceonsystemsciences	10220
discretemathematics	10167
ieeetransactionsonsignalprocessing	10133
bioinformatics	10072
europeanjournalofoperationalresearch	9983
computervisionandpatternrecognition	9809
systems,manandcybernetics	9754
internationalconferenceonpatternrecognition	9584
neurocomputing	9579
expertsystemswithapplications	9491
neuroimage	8804
ieeetransactionsoncommunications	8739
sensors	8656
internationalsymposiumonneuralnetworks	8637
softcomputing	8561
wirelesscommunicationsandnetworkingconference	8549
theoreticalcomputerscience	8300
bmcbioinformatics	7907
communicationsoftheacm	7887
personal,indoorandmobileradiocommunications	7822
wintersimulationconference	7690
ieeetransactionsongeoscienceandremotesensing	7620
ieeetransactionsonindustrialelectronics	7548
automatica	7193
internationalconferenceoncomputercommunications	7159
systemsmanandcybernetics	6904
internationaljointconferenceonartificialintelligence	6882
informationsciences	6873
congressonevolutionarycomputation	6756
ieeetransactionsonwirelesscommunications	6660
internationalconferenceonmultimediaandexpo	6584
ieeecommunicationsletters	6576
neuralinformationprocessingsystems	6355
patternrecognition	6177
advancesincomputingandcommunications	6173
internationalconferenceonconceptualstructures	6165
designautomationconference	6164
ieeeinternationalconferenceonhighperformancecomputingdataandanalytics	6120
internationalparallelanddistributedprocessingsymposium	6084
ieeetransactionsonvehiculartechnology	6024
internationalsymposiumoninformationtheory	5946
journalofcomputationalphysics	5938
technicalsymposiumoncomputerscienceeducation	5908
ieeetransactionsoncomputers	5779
