0 0 186 459 459 459 459 1676 1404 440 440
0 89 89 89 523 1612 1234 1553 421 421 2275
0 0 970 970 1471 2432 481 1616 975 2536 2536
1 2 155 2 274 274 357 357 357 30 30
1 1 2 304 2 2124 2124 2124 2 149 2
1 2 1133 2 848 848 2 1152 1154 1154 2
2 2 30 2 2139 1909 2 2 1939 1938 1939
2 1537 2 403 403 2 2 2 2 1412 371
2 2 2 2090 2090 769 2090 769 848 2 2
3 3 2135 2135 2135 2225 2225 2118 2342 1340 1923
3 3 3 565 565 565 565 565 565 565 565
3 2035 2035 2035 2035 2035 2035 168 168 134 134
4 2 609 609 2 1773 1772 1772 2 2155 2156
4 4 5 2205 5 1327 2 2 1508 1509 1509
4 5 5 312 5 2204 2205 2 304 2 1047
5 2205 2204 5 1103 1104 5 5 1329 1327 1328
5 5 2 415 623 2 937 937 2 2 2517
5 5 2 493 2 2 2338 2 517 19 2
6 1193 1193 969 969 613 2329 2329 447 447 2298
6 6 319 1256 1256 1593 1236 2489 2489 2489 2489
6 486 486 1901 238 1125 1136 627 1136 1776 1776
7 2 1806 2 2 296 2 2 218 2 2
7 2 2 744 2 2 679 679 2 2 473
7 7 2 1163 1163 1162 2 2 393 393 393
8 8 8 8 8 196 89 784 784 784 784
8 803 1585 1676 1404 1676 1676 1279 1676 1110 647
8 2508 2508 2380 2380 2380 2380 2380 2508 2418 1771
9 9 9 9 2 2 1133 1133 2 679 2
9 9 9 2 433 2 302 301 301 302 301
9 2 2 1469 2 705 371 371 372 2 2
10 337 1350 523 1350 1350 909 1418 1418 1418 1418
10 98 98 98 98 569 569 2387 2314 2307 2387
10 10 1102 1102 2430 1682 2046 2396 2396 2396 743
11 12 2 646 646 646 2 510 510 510 390
11 2 1133 2 2338 2 2115 744 744 744 2
11 2 1440 1441 1708 2 2 2 636 636 1380
12 12 12 11 12 2 642 642 642 2 2
12 2 323 2 809 808 2 2270 2270 2173 2270
12 2 2 2 632 632 2 1172 1172 1172 2
13 13 784 1051 1051 1051 1051 2505 1100 2405 2109
13 13 1838 1838 1510 1510 1510 1418 1675 340 340
13 1033 1797 572 1677 2493 2460 2460 2543 2414 2332
14 409 2 2 1026 1026 1026 1026 1025 1026 2
14 14 2 59 59 2 2 34 2 1430 1430
14 409 2 1402 1402 2 2490 2491 2492 2 2
15 14 2 2 1072 1072 1072 2 1581 1581 1118
15 14 2 1796 995 996 2 30 14 14 2
15 2 390 2 2 1035 1035 2 1951 1951 2
16 21 2224 1837 1630 1630 1038 2224 2528 2089 847
16 16 16 1906 2294 1967 2294 1967 884 884 884
16 16 1354 16 33 33 33 33 33 16 33
17 2 2003 2002 2002 2 115 113 116 115 116
17 2 349 2019 2 2 2048 1723 1723 1723 574
17 2 2522 2 1775 2 2 2 2 604 604
18 2 2 361 2 1830 1830 1830 1830 1830 2
18 18 1907 18 2 409 609 349 348 2 574
18 2 1414 2 251 251 251 251 251 2 2
19 1039 1039 1022 1023 2 2 1400 1400 1046 1047
