0 185 217 2 2495 2 2279 1581 1636 1118 1580
0 2 272 276 1144 604 2502 2504 2502 2504 2502
0 1204 1636 1203 1201 1581 1636 2050 2528 2288 1589
1 1674 2 1827 2 1916 2 2396 251 250 71
1 458 2 822 2 637 2 2183 70 2227 2
1 0 981 1349 2 255 2 1250 2 2109 2110
2 823 2 2004 1748 2197 1383 1735 1738 1382 2
2 160 161 160 71 1429 1430 291 293 291 2
2 497 614 416 417 416 419 416 419 416 417
3 4 1168 593 590 591 590 968 590 1245 2122
3 2 784 1052 784 788 1051 1052 1051 788 784
3 1701 1932 216 215 2 1633 2 492 651 1391
4 1882 2308 2314 632 938 602 601 1246 2266 602
4 2203 2205 2203 5 1102 5 1450 321 315 2
4 373 1335 1334 1336 1334 726 2096 2098 2096 2336
5 941 2 1613 2 954 2468 2466 1999 1918 1573
5 980 982 1349 983 1690 476 1450 321 1450 1660
5 373 312 310 375 373 5 1326 1245 2507 679
6 179 177 378 1452 2 2000 2 1891 2 1130
6 1109 784 788 1058 1060 219 181 219 225 2387
6 2 1543 2 1130 584 1654 1954 817 2 1950
7 1107 2 1869 1331 16 433 647 614 647 1734
7 6 2464 1797 2048 1250 1683 2170 766 1867 1868
7 451 1441 2091 856 855 857 1256 9 130 131
8 2 2253 2124 2244 2245 2253 2124 2534 2535 2215
8 5 1102 1104 1102 1103 1145 820 817 819 1952
8 1015 1948 1726 123 2 556 346 970 2 1137
9 8 2 2022 2023 1482 71 840 841 1831 2
9 2231 1289 1229 2201 2232 1285 1284 2 2429 1341
9 434 2 2049 2 1443 70 1646 1470 1468 1469
10 1388 1387 1389 1387 1389 1106 351 1326 1328 1326
10 2 2514 1261 2080 1847 2080 2 2432 2 1925
10 1546 1544 1545 1490 942 1320 19 258 260 258
11 10 2 281 282 281 2 1818 2 212 142
11 10 2 1798 2 2483 2 1310 2 1359 1691
11 10 12 10 12 10 12 10 11 2032 2
12 10 2500 509 2 1177 1178 1177 1179 2355 1886
12 360 2 1612 274 2527 744 2011 744 1678 2113
12 10 12 10 70 272 275 936 937 1797 854
13 14 2543 2 1743 2 2028 2030 2028 2030 2028
13 573 515 1115 1146 1562 1114 516 2429 1265 523
13 2 2430 2113 2112 19 392 2 643 726 1334
14 1510 2 373 375 310 713 1981 2 2174 2
14 13 14 1506 409 613 1410 1409 1410 1409 2
14 55 57 55 65 1229 2 1827 2 1442 692
15 1510 1511 1510 2 319 321 1071 320 2486 2
15 1510 14 613 409 1757 1473 1472 1665 1472 1474
15 1040 2 2489 155 224 155 153 220 219 182
16 18 2187 2 1205 2 2340 1208 1207 602 601
16 623 2456 2 1607 91 89 92 150 92 1579
16 19 945 2 1745 2 1269 1035 1908 1261 676
17 33 34 33 999 998 2 2502 604 1405 1546
17 33 813 1394 393 352 1211 1234 357 1549 1621
17 2527 2189 2187 2259 2258 986 1284 2 1136 2
18 1906 1907 1906 2 2211 2212 230 2 171 2
18 2441 2222 2221 2222 737 738 737 528 527 42
18 1186 19 167 2 315 2346 2344 2 2294 2
19 335 336 1554 17 458 304 2355 2 1359 1362
19 901 1692 472 474 1852 151 150 216 1250 573
19 2465 1951 643 2 1502 1581 1580 1380 1378 1235
20 291 2 494 2 442 2 2141 2 364 276
20 21 2334 362 363 196 1285 1284 1260 1259 2
